Date,Category,Amount,Payment Method,Vendor/Location,Month,Day of Week,Transaction Count,Cumulative Monthly Spend,Transaction Type,Seasonality Indicator,Historical Spend
2023-11-13 11:53:01.755563,Groceries,110.25,Debit Card,Store D,11,Monday,1,110.25,Groceries,Regular,0.0
2023-11-13 11:53:01.755563,Entertainment,18.32,Credit Card,Store A,11,Monday,1,18.32,Entertainment,Regular,0.0
2023-11-14 11:53:01.755563,Entertainment,159.79,Debit Card,Store C,11,Tuesday,4,178.10999999999999,Entertainment,Regular,18.32
2023-11-14 11:53:01.755563,Entertainment,194.27,Mobile Payment,Store B,11,Tuesday,4,372.38,Entertainment,Regular,159.79
2023-11-14 11:53:01.755563,Entertainment,192.67,Cash,Store D,11,Tuesday,4,565.05,Entertainment,Regular,194.27
2023-11-14 11:53:01.755563,Entertainment,108.36,Credit Card,Store E,11,Tuesday,4,673.41,Entertainment,Regular,192.67
2023-11-15 11:53:01.755563,Groceries,28.23,Credit Card,Store E,11,Wednesday,1,138.48,Groceries,Regular,110.25
2023-11-15 11:53:01.755563,Utilities,35.43,Credit Card,Store C,11,Wednesday,1,35.43,Utilities,Regular,0.0
2023-11-16 11:53:01.755563,Groceries,108.61,Debit Card,Store D,11,Thursday,1,247.09,Groceries,Regular,28.23
2023-11-17 11:53:01.755563,Transportation,78.64,Mobile Payment,Store D,11,Friday,1,78.64,Transportation,Regular,0.0
2023-11-17 11:53:01.755563,Dining,149.89,Debit Card,Store B,11,Friday,2,149.89,Takeout,Regular,0.0
2023-11-17 11:53:01.755563,Dining,5.9,Debit Card,Store D,11,Friday,2,155.79,Takeout,Regular,149.89
2023-11-18 11:53:01.755563,Groceries,177.63,Mobile Payment,Store A,11,Saturday,1,424.72,Groceries,Regular,108.61
2023-11-18 11:53:01.755563,Dining,60.46,Cash,Store E,11,Saturday,2,216.25,Takeout,Regular,5.9
2023-11-18 11:53:01.755563,Transportation,30.81,Mobile Payment,Store C,11,Saturday,1,109.45,Transportation,Regular,78.64
2023-11-18 11:53:01.755563,Dining,157.35,Cash,Store A,11,Saturday,2,373.59999999999997,Takeout,Regular,60.46
2023-11-19 11:53:01.755563,Groceries,66.61,Debit Card,Store E,11,Sunday,2,491.33,Groceries,Regular,177.63
2023-11-19 11:53:01.755563,Miscellaneous,50.39,Mobile Payment,Store E,11,Sunday,1,50.39,Miscellaneous,Regular,0.0
2023-11-19 11:53:01.755563,Utilities,92.54,Mobile Payment,Store B,11,Sunday,1,127.97,Utilities,Regular,35.43
2023-11-19 11:53:01.755563,Groceries,195.26,Credit Card,Store D,11,Sunday,2,686.5899999999999,Groceries,Regular,66.61
2023-11-19 11:53:01.755563,Dining,182.1,Cash,Store D,11,Sunday,1,555.6999999999999,Takeout,Regular,157.35
2023-11-20 11:53:01.755563,Utilities,101.36,Mobile Payment,Store D,11,Monday,2,229.33,Utilities,Regular,92.54
2023-11-20 11:53:01.755563,Entertainment,136.05,Debit Card,Store C,11,Monday,1,809.46,Entertainment,Regular,108.36
2023-11-20 11:53:01.755563,Utilities,76.85,Credit Card,Store A,11,Monday,2,306.18,Utilities,Regular,101.36
